 i am facing fever and cough,"Allergic Rhinitis, Flu, Nipah Virus",Yes,2024-10-05 10:37:20.911136
 i am facing fever and cough,"Influenza, Allergic Rhinitis, Nipah Virus",No,2024-10-05 10:37:32.336946
 i am facing fever and cough,"Flu, Nipah Virus, Allergic Rhinitis",Yes,2024-10-05 10:37:34.052093
I have fever and cough,"Flu, Influenza, Nipah Virus",Yes,2024-10-05 10:49:32.400498
i have headache and fever,"Tension Headache, Lyme Borreliosis, Rotavirus Infection",Yes,2024-10-05 17:33:16.296324
i have headache and feve,"Vision Problems, Tension Headache, Cluster Headache",Yes,2024-10-05 17:33:36.542117
i have headache and fever,"Tension Headache, Cluster Headache, Rotavirus Infection",Yes,2024-10-05 17:33:41.072416
i have headache ,"Rheumatoid Arthritis, Tension Headache, Cluster Headache",Yes,2024-10-05 17:33:47.758804
i have headache ,"Rheumatoid Arthritis, Tension Headache, Cluster Headache",No,2024-10-05 17:33:58.365575
i have headache ,"Vision Problems, Tension Headache, Cluster Headache",Yes,2024-10-05 17:33:59.237308
i have headache ,"Listeriosis, Tension Headache, Cluster Headache",No,2024-10-05 17:34:03.367868
i have fever and headache,"Lyme Borreliosis, Cluster Headache, Tension Headache",Yes,2024-10-05 21:02:56.058281
i have fever and cough,"Rheumatic Fever, Allergic Rhinitis, Nipah Virus",Yes,2024-10-05 21:03:36.003823
"help me with these symptoms, i got fever and headache","Tension Headache, Rotavirus Infection, Lyme Borreliosis",Yes,2024-10-05 21:13:03.903249
"help me with these symptoms, i got fever and headache","Tension Headache, Rotavirus Infection, Lyme Borreliosis",No,2024-10-05 21:13:07.434985
"help me with these symptoms, i got fever and headache","Cluster Headache, Lyme Borreliosis, Tension Headache",Yes,2024-10-05 21:13:08.462447
